Object	Object type	Related Gene	Topological rank	Relevance rank	Expression rank
potassium voltage-gated channel KQT-like protein 3 [Homo sapiens]	Protein	KCNQ3	7	2	0.971635737
tumor necrosis factor receptor superfamily, member 9 precursor [Homo sapiens]	Protein	TNFRSF9	6	0	0.698300163
period 1 [Homo sapiens]	Protein	PER1	9	1	0.865987083
cryptochrome 1 (photolyase-like) [Homo sapiens]	Protein	CRY1	10	1	1.127177638
transmembrane prostate androgen-induced protein isoform c [Homo sapiens]	Protein	TMEPAI	3	0	1.306715814
rhomboid-related protein 2 [Homo sapiens]	Protein	RHBDL2	2	0	0.946947359
ephrin-B3 precursor [Homo sapiens]	Protein	EFNB3	5	2	0.8748236
Rab interacting lysosomal protein [Homo sapiens]	Protein	RILP	2	0	0.717331625
hairless protein isoform a [Homo sapiens]	Protein	HR	4	1	1.15513667
WW domain binding protein 1 [Homo sapiens]	Protein	WBP1	4	1	0.335201106
peroxiredoxin 6 [Homo sapiens]	Protein	PRDX6	11	0	1.077836002
contactin associated protein 1 [Homo sapiens]	Protein	CNTNAP1	5	1	1.062505036
tripartite motif-containing 37 protein [Homo sapiens]	Protein	TRIM37	31	0	0.985255503
speckle-type POZ protein [Homo sapiens]	Protein	SPOP	13	0	1.067229582
OTU domain containing 7B [Homo sapiens]	Protein	OTUD7B	4	1	1.522483381
tumor necrosis factor receptor 13B [Homo sapiens]	Protein	TNFRSF13B	8	0	0.668849354
orexin receptor 2 [Homo sapiens]	Protein	HCRTR2	3	1	0.666346868
orexin receptor 1 [Homo sapiens]	Protein	HCRTR1	2	2	0.896547353
phosphatidic acid phosphatase type 2A isoform 1 [Homo sapiens]	Protein	PPAP2A	8	1	1.36512193
LIM and senescent cell antigen-like domains 2 [Homo sapiens]	Protein	LIMS2	2	1	1.19314086
integrin-linked kinase-associated protein phosphatase 2C isoform 2 [Homo sapiens]	Protein	ILKAP	3	1	1.087829341
neuronal pentraxin I precursor [Homo sapiens]	Protein	NPTX1	4	2	0.974501303
chloride intracellular channel 3 [Homo sapiens]	Protein	CLIC3	3	1	0.637359662
protein kinase C and casein kinase substrate in neurons 3 [Homo sapiens]	Protein	PACSIN3	17	2	1.807396904
uroplakin 1B [Homo sapiens]	Protein	UPK1B	4	1	0.923434898
uroplakin 3A precursor [Homo sapiens]	Protein	UPK3A	3	0	1.845276611
sulfotransferase family, cytosolic, 1C, member 1 isoform a [Homo sapiens]	Protein	SULT1C1	4	0	0.658398271
ubiquitin specific protease, proto-oncogene isoform a [Homo sapiens]	Protein	USP4	5	1	0.940374069
cell recognition protein CASPR4 isoform 1 [Homo sapiens]	Protein	CNTNAP4	3	1	0.435103031
kinesin family member 17 [Homo sapiens]	Protein	KIF17	4	1	1.049219416
adaptor-related protein complex 3, sigma 2 subunit [Homo sapiens]	Protein	AP3S2	5	1	1.121106504
histone mRNA 3' end-specific exonuclease [Homo sapiens]	Protein	THEX1	2	1	0.491406603
three prime histone mRNA exonuclease 1 [Homo sapiens]	Protein	THEX1	2	1	0.491406603
SLIT-ROBO Rho GTPase-activating protein 1 [Homo sapiens]	Protein	SRGAP1	5	0	0.596150456
roundabout 1 isoform a [Homo sapiens]	Protein	ROBO1	6	2	1.421821759
GTP cyclohydrolase I feedback regulatory protein [Homo sapiens]	Protein	GCHFR	4	1	0.649075285
dihydropyrimidinase-like 2 [Homo sapiens]	Protein	DPYSL2	5	4	1.10794291
dudulin 2 isoform b [Homo sapiens]	Protein	STEAP3	3	0	1.215524503
STEAP family member 3 [Homo sapiens]	Protein	STEAP3	3	0	1.215524503
ribonuclease P/MRP 38kDa subunit [Homo sapiens]	Protein	RPP38	11	0	0.96329104
WW domain-containing binding protein 4 [Homo sapiens]	Protein	WBP4	2	2	1.238940423
golgi autoantigen, golgin subfamily b, macrogolgin (with transmembrane signal), 1 [Homo sapiens]	Protein	GOLGB1	10	1	0.814582201
cyclin K [Homo sapiens]	Protein	CCNK	23	0	1.105909727
regulator of G-protein signalling 16 [Homo sapiens]	Protein	RGS16	8	1	0.85337539
guanine nucleotide-binding protein, beta-5 subunit isoform a [Homo sapiens]	Protein	GNB5	11	2	0.668801242
SNAP-associated protein [Homo sapiens]	Protein	SNAPAP	19	0	0.771937879
mitogen-activated protein kinase kinase 5 isoform B [Homo sapiens]	Protein	MAP2K5	9	1	1.158035956
pyruvate dehydrogenase kinase, isoenzyme 2 [Homo sapiens]	Protein	PDK2	9	1	1.321271814
secretory carrier membrane protein 1 isoform 1 [Homo sapiens]	Protein	SCAMP1	10	2	1.089608301
secretory carrier membrane protein 2 [Homo sapiens]	Protein	SCAMP2	5	1	0.933003102
syntaxin 6 [Homo sapiens]	Protein	STX6	10	2	0.896909881
opiate receptor-like 1 [Homo sapiens]	Protein	OPRL1	5	1	0.785235455
NMD3 homolog [Homo sapiens]	Protein	NMD3	2	1	0.970544149
NMD3 homolog (S. cerevisiae) [Homo sapiens]	Protein	NMD3	2	1	0.970544149
adenosine deaminase, RNA-specific isoform d [Homo sapiens]	Protein	ADAR	3	1	0.889632955
chemokine (C-C motif) receptor 9 isoform B [Homo sapiens]	Protein	CCR9	2	2	0.644756953
RAB33B, member RAS oncogene family [Homo sapiens]	Protein	RAB33B	5	1	1.097414229
golgi reassembly stacking protein 2 [Homo sapiens]	Protein	GORASP2	15	2	1.07922442
Golgi autoantigen, golgin subfamily a, 2 [Homo sapiens]	Protein	GOLGA2	16	2	0.951778243
golgi autoantigen, golgin subfamily a, 7 [Homo sapiens]	Protein	GOLGA7	3	0	1.004148434
deltex 3-like [Homo sapiens]	Protein	DTX3L	2	1	0.898765053
corneodesmosin precursor [Homo sapiens]	Protein	CDSN	4	1	0.91839953
pygopus homolog 1 [Homo sapiens]	Protein	PYGO1	3	2	2.304082633
sorting nexin 17 [Homo sapiens]	Protein	SNX17	5	0	0.826484563
C-terminal binding protein 2 isoform 1 [Homo sapiens]	Protein	CTBP2	19	1	0.994734923
zinc finger protein, subfamily 1A, 4 [Homo sapiens]	Protein	ZNFN1A4	12	1	1.280362588
TG-interacting factor isoform c [Homo sapiens]	Protein	TGIF	12	1	0.844098976
SRY (sex determining region Y)-box 6 isoform 1 [Homo sapiens]	Protein	SOX6	3	0	1.553709469
Kruppel-like factor 3 (basic) [Homo sapiens]	Protein	KLF3	2	2	0.964395215
podocalyxin-like precursor isoform 1 [Homo sapiens]	Protein	PODXL	3	3	1.178769143
four and a half LIM domains 3 [Homo sapiens]	Protein	FHL3	22	1	1.665866759
activator of cAMP-responsive element modulator (CREM) in testis [Homo sapiens]	Protein	FHL5	13	1	1.764495375
osteoprotegerin precursor [Homo sapiens]	Protein	TNFRSF11B	4	0	1.565387654
phosphodiesterase 2A, cGMP-stimulated [Homo sapiens]	Protein	PDE2A	7	2	1.049169103
ADP-ribosylation factor-like 2 [Homo sapiens]	Protein	ARL2	10	1	1.121305485
GTP-binding protein RHO6 [Homo sapiens]	Protein	RND1	7	1	0.497930385
brain-specific angiogenesis inhibitor 1 precursor [Homo sapiens]	Protein	BAI1	6	3	1.234126192
BAI1-associated protein 3 [Homo sapiens]	Protein	BAIAP3	2	1	0.802677528
transcription factor-like protein 4 isoform gamma [Homo sapiens]	Protein	MLX	11	3	1.020910581
TPX2, microtubule-associated protein homolog [Homo sapiens]	Protein	TPX2	4	0	0.707657656
methyl-CpG binding domain protein 3 [Homo sapiens]	Protein	MBD3	13	2	0.961628626
aurora kinase A [Homo sapiens]	Protein	AURKA	10	2	1.061559402
tumor protein p73-like [Homo sapiens]	Protein	TP73L	4	1	1.773652516
estrogen-related receptor gamma isoform 1 [Homo sapiens]	Protein	ESRRG	6	2	1.785734379
estrogen-related receptor alpha [Homo sapiens]	Protein	ESRRA	8	1	1.193897453
retinoic acid receptor, beta isoform 1 [Homo sapiens]	Protein	RARB	2	2	0.855691945
minichromosome maintenance protein 3 associated protein [Homo sapiens]	Protein	MCM3AP	7	1	1.050955453
tumor necrosis factor (ligand) superfamily, member 12 precursor [Homo sapiens]	Protein	TNFSF12	6	0	1.178847611
katanin p80 subunit B 1 [Homo sapiens]	Protein	KATNB1	3	1	0.621869606
podocin [Homo sapiens]	Protein	NPHS2	5	0	1.364276987
N-methyl-D-aspartate receptor subunit 2D precursor [Homo sapiens]	Protein	GRIN2D	4	1	1.063063204
paraoxonase 3 [Homo sapiens]	Protein	PON3	9	1	0.865321666
src family associated phosphoprotein 2 [Homo sapiens]	Protein	SCAP2	5	0	0.835013393
BCL2/adenovirus E1B 19kD interacting protein 2 [Homo sapiens]	Protein	BNIP2	8	2	1.093290845
insulin-like growth factor binding protein 7 [Homo sapiens]	Protein	IGFBP7	12	4	1.330373966
phosphatidylinositol-4-phosphate 5-kinase, type I, beta isoform 1 [Homo sapiens]	Protein	PIP5K1B	4	2	0.667007106
cytosine-5-methyltransferase 3-like protein isoform 1 [Homo sapiens]	Protein	DNMT3L	9	1	0.983019092
chromobox homolog 1 (HP1 beta homolog Drosophila ) [Homo sapiens]	Protein	CBX1	28	1	1.109561003
zinc finger protein 238 isoform 2 [Homo sapiens]	Protein	ZNF238	4	2	1.71588996
RAD51 homolog C isoform 2 [Homo sapiens]	Protein	RAD51C	5	0	1.053851562
X-ray repair cross complementing protein 3 [Homo sapiens]	Protein	XRCC3	3	1	0.837511815
kinesin family member 3C [Homo sapiens]	Protein	KIF3C	3	1	0.838799498
beta chimerin isoform 1 [Homo sapiens]	Protein	CHN2	5	1	0.696216782
UDP-N-acteylglucosamine pyrophosphorylase 1 [Homo sapiens]	Protein	UAP1	6	0	1.197972629
deleted in bladder cancer 1 [Homo sapiens]	Protein	DBC1	3	0	0.814316835
itchy homolog E3 ubiquitin protein ligase [Homo sapiens]	Protein	ITCH	7	1	1.036617229
tight junction protein 2 (zona occludens 2) isoform 1 [Homo sapiens]	Protein	TJP2	7	0	1.004113827
semaphorin 4C [Homo sapiens]	Protein	SEMA4C	4	1	0.954344037
potassium voltage-gated channel, shaker-related subfamily, member 1 [Homo sapiens]	Protein	KCNA1	4	1	0.831021557
postsynaptic protein CRIPT [Homo sapiens]	Protein	CRIPT	6	1	1.146629894
leucine rich repeat containing 1 [Homo sapiens]	Protein	LRRC1	4	0	0.769732135
discs large-associated protein 2 [Homo sapiens]	Protein	DLGAP2	4	1	0.982831942
discs, large (Drosophila) homolog-associated protein 4 [Homo sapiens]	Protein	DLGAP4	9	2	1.307121775
neuroligin 2 [Homo sapiens]	Protein	NLGN2	4	1	0.842371817
frizzled 4 [Homo sapiens]	Protein	FZD4	2	1	1.57953523
similar to Disks large-associated protein 3 (DAP-3) (SAP90/PSD-95-associated protein 3) (SAPAP3) (PSD-95/SAP90-binding protein 3) [Homo sapiens]	Protein	DLGAP3	4	1	0.614774524
citron [Homo sapiens]	Protein	CIT	3	1	0.539762704
semaphorin W [Homo sapiens]	Protein	SEMA4F	2	0	0.778602426
killer cell lectin-like receptor subfamily D, member 1 isoform 1 [Homo sapiens]	Protein	KLRD1	6	1	0.498176429
TYRO protein tyrosine kinase binding protein isoform 2 precursor [Homo sapiens]	Protein	TYROBP	7	2	0.929521616
mitogen-activated protein kinase 9 isoform 1 [Homo sapiens]	Protein	MAPK9	28	1	1.183993357
dual specificity phosphatase 16 [Homo sapiens]	Protein	DUSP16	13	1	0.679847913
mitogen-activated protein kinase 10 isoform 1 [Homo sapiens]	Protein	MAPK10	25	1	0.812521926
mitogen-activated protein kinase 6 [Homo sapiens]	Protein	MAPK6	7	0	1.128234649
E2F transcription factor 6 isoform 2 [Homo sapiens]	Protein	E2F6	5	1	1.219068611
small inducible cytokine A22 precursor [Homo sapiens]	Protein	CCL22	3	0	0.703369726
calcium/calmodulin-dependent protein kinase kinase 2 beta isoform 1 [Homo sapiens]	Protein	CAMKK2	7	1	0.921417285
translin-associated factor X interacting protein 1 [Homo sapiens]	Protein	TSNAXIP1	2	0	0.66273063
breast carcinoma amplified sequence 1 [Homo sapiens]	Protein	BCAS1	6	1	0.642291579
MAD4 [Homo sapiens]	Protein	MXD4	6	1	0.87207863
ubiquitin-conjugating enzyme E2 variant 1 isoform c [Homo sapiens]	Protein	UBE2V1	3	1	0.406773798
cadherin 6, type 2 preproprotein [Homo sapiens]	Protein	CDH6	3	1	1.30472536
dual specificity phosphatase 19 [Homo sapiens]	Protein	DUSP19	7	1	0.763266419
dual specificity phosphatase 22 [Homo sapiens]	Protein	DUSP22	6	2	1.057034932
zinc finger protein, subfamily 1A, 2 (Helios) [Homo sapiens]	Protein	ZNFN1A2	6	1	1.171284022
toll-like receptor 4 precursor [Homo sapiens]	Protein	TLR4	10	0	0.970053785
MAX binding protein [Homo sapiens]	Protein	MNT	6	1	0.996066912
SMT3 suppressor of mif two 3 homolog 2 isoform b precursor [Homo sapiens]	Protein	SUMO2	42	1	1.037672404
SMT3 suppressor of mif two 3 homolog 2 (S. cerevisiae) [Homo sapiens]	Protein	SUMO2	14	1	1.037672404
SUMO1/sentrin/SMT3 specific protease 3 [Homo sapiens]	Protein	SENP3	4	0	0.846915672
muscle specific ring finger protein 1 [Homo sapiens]	Protein	TRIM63	11	0	1.998817511
phosphatidylinositol glycan, class K precursor [Homo sapiens]	Protein	PIGK	10	1	0.96196233
solute carrier family 12 (potassium/chloride transporters), member 9 [Homo sapiens]	Protein	SLC12A9	2	0	0.743443447
protein kinase D2 [Homo sapiens]	Protein	PRKD2	6	2	0.696665389
G protein-coupled receptor 17 [Homo sapiens]	Protein	GPR17	3	1	1.114491111
ATP-binding cassette sub-family G member 1 isoform 4 [Homo sapiens]	Protein	ABCG1	2	2	1.17598587
solute carrier family 31 (copper transporters), member 1 [Homo sapiens]	Protein	SLC31A1	3	0	0.777011994
dual specificity phosphatase 11 [Homo sapiens]	Protein	DUSP11	6	1	1.069519131
S100 calcium-binding protein A12 [Homo sapiens]	Protein	S100A12	4	1	0.493824358
ubiquitin-conjugating enzyme E2G 2 isoform 2 [Homo sapiens]	Protein	UBE2G2	11	0	1.174727102
PTPRF interacting protein, binding protein 2 (liprin beta 2) [Homo sapiens]	Protein	PPFIBP2	8	1	0.615034835
interleukin 17 receptor precursor [Homo sapiens]	Protein	IL17RA	4	1	0.617628739
interleukin 17 receptor A [Homo sapiens]	Protein	IL17RA	4	1	0.617628739
interleukin 17A [Homo sapiens]	Protein	IL17A	5	1	0.882590619
cell division cycle 10 isoform 2 [Homo sapiens]	Protein	sep-07	5	2	1.059989976
Cdc42 effector protein 2 [Homo sapiens]	Protein	CDC42EP2	4	1	1.182561654
vesicle-associated membrane protein 8 [Homo sapiens]	Protein	VAMP8	11	1	0.743439423
syntaxin 5 [Homo sapiens]	Protein	STX5	16	0	0.296013551
SEC22 vesicle trafficking protein homolog B [Homo sapiens]	Protein	SEC22B	2	2	1.140648169
SEC22 vesicle trafficking protein homolog B (S. cerevisiae) [Homo sapiens]	Protein	SEC22B	2	2	1.140648169
golgi SNAP receptor complex member 2 isoform B [Homo sapiens]	Protein	GOSR2	3	1	1.109828108
golgi SNAP receptor complex member 1 isoform 3 [Homo sapiens]	Protein	GOSR1	5	2	1.064969528
vesicle transport through interaction with t-SNAREs 1B [Homo sapiens]	Protein	VTI1B	6	3	1.072959262
syntaxin 7 [Homo sapiens]	Protein	STX7	12	0	1.08723033
syntaxin 12 [Homo sapiens]	Protein	STX12	8	0	1.048526597
bone morphogenetic protein receptor, type IB [Homo sapiens]	Protein	BMPR1B	63	1	1.469752525
carbonic anhydrase XII isoform 1 precursor [Homo sapiens]	Protein	CA12	12	0	0.807822186
G protein-coupled receptor 54 [Homo sapiens]	Protein	KISS1R	2	1	0.562346537
KISS1 receptor [Homo sapiens]	Protein	KISS1R	2	1	0.562346537
latrophilin 2 precursor [Homo sapiens]	Protein	LPHN2	3	4	1.274214955
potassium voltage-gated channel, subfamily H, member 1 isoform 2 [Homo sapiens]	Protein	KCNH1	3	1	0.995985834
asparagine-linked glycosylation 10 homolog (yeast, alpha-1,2-glucosyltransferase) [Homo sapiens]	Protein	ALG10	3	0	0.800411611
frequenin homolog [Homo sapiens]	Protein	FREQ	9	1	1.069735123
inner centromere protein antigens 135/155kDa [Homo sapiens]	Protein	INCENP	5	1	0.594585301
RNA binding motif protein 7 [Homo sapiens]	Protein	RBM7	8	1	1.066648648
tumor necrosis factor receptor superfamily, member 25 isoform 12 precursor [Homo sapiens]	Protein	TNFRSF25	4	1	0.815225141
tumor necrosis factor (ligand) superfamily, member 15 [Homo sapiens]	Protein	TNFSF15	2	0	0.816469022
CCR4-NOT transcription complex, subunit 7 isoform 1 [Homo sapiens]	Protein	CNOT7	12	3	1.10310802
GLE1-like, RNA export mediator isoform 1 [Homo sapiens]	Protein	GLE1L	3	1	0.75045767
poly A binding protein, cytoplasmic 4 [Homo sapiens]	Protein	PABPC4	2	2	1.275199603
RAB-interacting factor [Homo sapiens]	Protein	RABIF	6	1	0.818157044
protocadherin 18 precursor [Homo sapiens]	Protein	PCDH18	3	2	0.597129459
chordin isoform a [Homo sapiens]	Protein	CHRD	2	1	1.073003551
interferon-related developmental regulator 1 [Homo sapiens]	Protein	IFRD1	3	1	1.136245043
low density lipoprotein receptor-related protein 6 [Homo sapiens]	Protein	LRP6	5	1	1.200147958
chorionic somatomammotropin hormone-like 1 isoform 3 [Homo sapiens]	Protein	CSHL1	2	0	1.025475875
TIA1 protein isoform 1 [Homo sapiens]	Protein	TIA1	3	1	0.976904006
AP1 gamma subunit binding protein 1 isoform 1 [Homo sapiens]	Protein	AP1GBP1	7	0	0.718430184
multiple coiled-coil GABABR1-binding protein [Homo sapiens]	Protein	JAKMIP1	8	1	0.343234307
janus kinase and microtubule interacting protein 1 [Homo sapiens]	Protein	JAKMIP1	8	1	0.343234307
methyl-CpG binding domain protein 3-like [Homo sapiens]	Protein	MBD3L1	3	1	0.828212923
MBD2 (methyl-CpG-binding protein)-interacting zinc finger protein [Homo sapiens]	Protein	MIZF	3	1	0.857319601
metastasis-associated protein 2 [Homo sapiens]	Protein	MTA2	5	2	1.155104159
transient receptor potential cation channel, subfamily M, member 1 [Homo sapiens]	Protein	TRPM1	3	1	0.924217287
protocadherin 8 isoform 1 precursor [Homo sapiens]	Protein	PCDH8	3	1	1.326145398
ubiquitin specific protease 13 (isopeptidase T-3) [Homo sapiens]	Protein	USP13	10	2	1.449784248
phospholipase A2 receptor 1 isoform 2 precursor [Homo sapiens]	Protein	PLA2R1	3	2	0.885177282
solute carrier family 24 (sodium/potassium/calcium exchanger), member 1 [Homo sapiens]	Protein	SLC24A1	4	0	0.894586554
cataract, congenital, total [Homo sapiens]	Protein	CCT	4	0	0
syntaxin 16 isoform a [Homo sapiens]	Protein	STX16	5	0	0.932927407
glutamate receptor interacting protein 2 isoform 1 [Homo sapiens]	Protein	GRIP2	6	1	1.68163986
ariadne ubiquitin-conjugating enzyme E2 binding protein homolog 1 [Homo sapiens]	Protein	ARIH1	4	2	1.190210513
ribosomal protein S6 kinase, 52kDa, polypeptide 1 [Homo sapiens]	Protein	RPS6KC1	3	1	0.980462532
guanine nucleotide binding protein (G protein) alpha 12 [Homo sapiens]	Protein	GNA12	27	1	0.807658241
guanine nucleotide binding protein (G protein), alpha 13 [Homo sapiens]	Protein	GNA13	35	2	1.051538619
HUS1 checkpoint protein B [Homo sapiens]	Protein	HUS1B	6	1	0.439787875
cerberus 1 [Homo sapiens]	Protein	CER1	3	1	0.712585876
potassium voltage-gated channel, Isk-related family, member 2 [Homo sapiens]	Protein	KCNE2	3	1	1.133020227
solute carrier family 22 member 4 [Homo sapiens]	Protein	SLC22A4	2	1	1.023342283
PDZ domain containing 1 [Homo sapiens]	Protein	PDZK1	13	0	0.731276481
urate anion exchanger 1 isoform a [Homo sapiens]	Protein	SLC22A12	2	0	0.383343497
dynamin 1-like protein isoform 3 [Homo sapiens]	Protein	DNM1L	7	2	1.144138279
HMBA-inducible [Homo sapiens]	Protein	HEXIM1	7	2	1.029977211
hexamethylene bis-acetamide inducible 1 [Homo sapiens]	Protein	HEXIM1	7	2	1.029977211
ring finger protein 7 isoform 1 [Homo sapiens]	Protein	RNF7	10	1	1.109938667
synaptotagmin-like 2 isoform b [Homo sapiens]	Protein	SYTL2	4	1	0.799586114
rabphilin 3A-like (without C2 domains) [Homo sapiens]	Protein	RPH3AL	10	1	1.018780988
synaptotagmin-like 5 [Homo sapiens]	Protein	SYTL5	4	0	0.383290936
synaptotagmin-like 1 [Homo sapiens]	Protein	SYTL1	4	0	0.305637958
RAB27B, member RAS oncogene family [Homo sapiens]	Protein	RAB27B	6	1	0.80057128
myeloid translocation gene-related protein 2 isoform MTG16a [Homo sapiens]	Protein	CBFA2T3	8	1	0.983280508
trophinin associated protein (tastin) [Homo sapiens]	Protein	TROAP	2	0	0.738431987
GDNF family receptor alpha 3 preproprotein [Homo sapiens]	Protein	GFRA3	2	2	1.049822005
ring finger protein 40 [Homo sapiens]	Protein	RNF40	6	1	0.765932812
ring finger protein 19 [Homo sapiens]	Protein	RNF19	7	2	1.05328738
superiorcervical ganglia, neural specific 10 [Homo sapiens]	Protein	STMN2	9	0	0.706401351
tumor necrosis factor receptor superfamily, member 18 isoform 1 precursor [Homo sapiens]	Protein	TNFRSF18	5	0	0.491190073
potassium large conductance calcium-activated channel, subfamily M, beta member 1 [Homo sapiens]	Protein	KCNMB1	3	2	0.699793104
glycine receptor, beta [Homo sapiens]	Protein	GLRB	2	0	1.264920518
SUMO1/sentrin/SMT3 specific protease 2 [Homo sapiens]	Protein	SENP2	7	0	0.961957145
calicin [Homo sapiens]	Protein	CCIN	3	1	1.432007106
numb homolog (Drosophila)-like [Homo sapiens]	Protein	NUMBL	4	1	0.790387418
urotensin 2 preproprotein, isoform b [Homo sapiens]	Protein	UTS2	4	2	0.734064834
glutamate receptor, metabotropic 7 isoform a precursor [Homo sapiens]	Protein	GRM7	9	2	0.784522503
interleukin 24 isoform 1 precursor [Homo sapiens]	Protein	IL24	2	1	0.92046477
myosin VB isoform 1 [Homo sapiens]	Protein	MYO5B	3	2	0.22604514
sialic acid binding Ig-like lectin 5 [Homo sapiens]	Protein	SIGLEC5	4	0	0.694615167
syntaxin 17 [Homo sapiens]	Protein	STX17	2	0	1.021128325
plexin C1 [Homo sapiens]	Protein	PLXNC1	2	3	0.80608315
plexin B2 [Homo sapiens]	Protein	PLXNB2	3	2	0.617414765
RAB3D, member RAS oncogene family [Homo sapiens]	Protein	RAB3D	4	1	0.804169752
A-kinase anchor protein 3 [Homo sapiens]	Protein	AKAP3	4	1	1.191087239
endothelial differentiation, sphingolipid G-protein-coupled receptor, 5 [Homo sapiens]	Protein	EDG5	3	2	0.988462193
